Timestamp,Data
2025-10-22 11:27:30.128,Sensor 1 (0x1C) - X: 0.089 Y: 0.433 Z: 0.983 | Orientation: Flat
2025-10-22 11:27:30.168,Sensor 2 (0x1D) - X: -0.661 Y: 0.453 Z: 1.268 | Orientation: Flat
2025-10-22 11:27:30.705,Sensor 1 (0x1C) - X: 0.481 Y: 0.433 Z: 1.546 | Orientation: Flat
2025-10-22 11:27:30.745,Sensor 2 (0x1D) - X: 0.440 Y: -0.116 Z: 1.999 | Orientation: Flat
2025-10-22 11:27:31.282,Sensor 1 (0x1C) - X: 0.400 Y: -0.357 Z: -0.936 | Orientation: Portrait Up
2025-10-22 11:27:31.333,Sensor 2 (0x1D) - X: 0.301 Y: -0.264 Z: -1.065 | Orientation: Flat
2025-10-22 11:27:31.870,Sensor 1 (0x1C) - X: 0.989 Y: 0.138 Z: -0.067 | Orientation: Landscape Right
2025-10-22 11:27:31.935,Sensor 2 (0x1D) - X: 0.961 Y: 0.169 Z: -0.221 | Orientation: Landscape Right
2025-10-22 11:27:32.470,Sensor 1 (0x1C) - X: 0.957 Y: 0.144 Z: 0.013 | Orientation: Landscape Right
2025-10-22 11:27:32.534,Sensor 2 (0x1D) - X: 0.967 Y: 0.181 Z: -0.097 | Orientation: Landscape Right
2025-10-22 11:27:33.071,Sensor 1 (0x1C) - X: 0.972 Y: 0.140 Z: -0.025 | Orientation: Landscape Right
2025-10-22 11:27:33.135,Sensor 2 (0x1D) - X: 0.966 Y: 0.177 Z: -0.133 | Orientation: Landscape Right
2025-10-22 11:27:33.672,Sensor 1 (0x1C) - X: 0.961 Y: 0.136 Z: -0.017 | Orientation: Landscape Right
2025-10-22 11:27:33.736,Sensor 2 (0x1D) - X: 0.946 Y: 0.155 Z: -0.146 | Orientation: Landscape Right
2025-10-22 11:27:34.273,Sensor 1 (0x1C) - X: 0.969 Y: 0.136 Z: -0.016 | Orientation: Landscape Right
2025-10-22 11:27:34.338,Sensor 2 (0x1D) - X: 0.944 Y: 0.146 Z: -0.139 | Orientation: Landscape Right
2025-10-22 11:27:34.874,Sensor 1 (0x1C) - X: 0.801 Y: 0.008 Z: 0.155 | Orientation: Landscape Right
2025-10-22 11:27:34.938,Sensor 2 (0x1D) - X: 0.998 Y: 0.002 Z: 0.034 | Orientation: Landscape Right
2025-10-22 11:27:35.473,Sensor 1 (0x1C) - X: -0.021 Y: 0.163 Z: 0.973 | Orientation: Flat
2025-10-22 11:27:35.514,Sensor 2 (0x1D) - X: 0.110 Y: -0.097 Z: 0.957 | Orientation: Flat
2025-10-22 11:27:36.051,Sensor 1 (0x1C) - X: -0.268 Y: 0.110 Z: 0.982 | Orientation: Flat
2025-10-22 11:27:36.093,Sensor 2 (0x1D) - X: -0.121 Y: -0.154 Z: 0.942 | Orientation: Flat
