Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r
17.208,-0.13584318465625,-0.025764867795624,0.999040199176136,-7.85174515871467,-1.40693240530618,-0.433771090147786,0.0597720796875414,0.89094538206972,-25.6576398585754,3.92841814848412
17.224,-0.13603010265815,-0.0256590472914376,0.998713869130773,-7.86629279044566,-1.4072912976703,-0.433714319669639,0.059921855141987,0.890890273400431,-25.6549069494882,3.94402016672591
17.24,-0.136191730518238,-0.0255642651736684,0.998489920342508,-7.87932518578808,-1.40672641110843,-0.433672228088315,0.0600588857505247,0.890813211899512,-25.6530973970055,3.95793547735368
17.256,-0.136322335944874,-0.0254865795538696,0.998379010220529,-7.89040766339853,-1.40537760456327,-0.433653007833768,0.0601742622080674,0.890722285360532,-25.6524993848678,3.96937526636319
17.272,-0.136420744754776,-0.025429603251707,0.998385229937611,-7.89929247597974,-1.40340518595075,-0.433662020628855,0.0602623049240749,0.890625580601252,-25.6532966083826,3.97779504489041
17.288,-0.136489831090263,-0.0253941451444881,0.998506098423868,-7.90591463375123,-1.40095778701828,-0.433701441777292,0.0603206446498921,0.890530182903612,-25.6555635095855,3.9829321230445
17.304,-0.136535423850131,-0.0253782799494756,0.998732766152676,-7.91036596141356,-1.39815761338137,-0.433770102698166,0.0603498117492235,0.890441165436882,-25.659262190742,3.98480445662131
17.32,-0.136564853750379,-0.0253777663596993,0.99905055810831,-7.9128551095404,-1.39510183187864,-0.433863600406575,0.0603526074028023,0.890360854018106,-25.6642426622649,3.98367923033065
17.336,-0.136585490450412,-0.0253866448438076,0.9994399725903,-7.91366461238123,-1.39187226094059,-0.433974766804562,0.0603335139781815,0.890288629494418,-25.670251216409,3.98002310838975
17.352,-0.136603615608922,-0.0253978842131612,0.999878113556591,-7.91311404388684,-1.38854559117124,-0.434094522848519,0.0602982603718717,0.890221374284864,-25.6769496708988,3.9744432751551
17.368,-0.136623828465322,-0.0254040494285443,1.00034038504973,-7.91153276224778,-1.38520028022892,-0.434213006661765,0.0602535148375004,0.890154440774984,-25.6839429616364,3.96762448468595
